token,level,duration_min,output_token,output_amount,input_token_1,input_amount_1,input_token_2,input_amount_2,upgrade_token,upgrade_amount
MUD,1,0.1,MUD,1,EARTH,3,,,EARTH,1
MUD,2,0.166666667,MUD,2,EARTH,6,,,MUD,3
MUD,3,0.233333333,MUD,4,EARTH,12,,,MUD,6
MUD,4,0.616666667,MUD,14,EARTH,42,,,CLAY,2
MUD,5,1,MUD,28,EARTH,84,,,SAND,2
MUD,6,2,MUD,65,EARTH,195,,,SAND,4
MUD,7,5,MUD,185,EARTH,555,,,SAND,6
MUD,8,10,MUD,412,EARTH,1236,,,SAND,20
MUD,9,20,MUD,903,EARTH,2709,,,SAND,35
MUD,10,30,MUD,1470,EARTH,4410,,,SAND,50
MUD,11,40,MUD,2107,EARTH,6321,,,COPPER,2
MUD,12,44.98333333,MUD,2527,EARTH,7581,,,COPPER,3
MUD,13,50,MUD,2975,EARTH,8925,,,COPPER,5
MUD,14,54,MUD,3384,EARTH,10152,,,COPPER,8
MUD,15,57,MUD,3743,EARTH,11229,,,COPPER,12
MUD,16,60,MUD,4110,EARTH,12330,,,COPPER,16
MUD,17,62,MUD,4412,EARTH,13236,,,COPPER,21
MUD,18,64,MUD,4714,EARTH,14142,,,COPPER,26
MUD,19,66,MUD,5016,EARTH,15048,,,COPPER,32
MUD,20,68,MUD,5315,EARTH,15945,,,COPPER,39
MUD,21,70,MUD,5611,EARTH,16833,,,COPPER,47
MUD,22,72,MUD,5910,EARTH,17730,,,COPPER,55
MUD,23,74,MUD,6210,EARTH,18630,,,COPPER,64
MUD,24,76,MUD,6511,EARTH,19533,,,COPPER,75
MUD,25,78,MUD,6812,EARTH,20436,,,STEEL,17
MUD,26,80,MUD,7116,EARTH,21348,,,STEEL,20
MUD,27,82,MUD,7422,EARTH,22266,,,STEEL,23
MUD,28,83.98333333,MUD,7730,EARTH,23190,,,STEEL,26
MUD,29,86,MUD,8042,EARTH,24126,,,STEEL,30
MUD,30,88,MUD,8357,EARTH,25071,,,STEEL,34
MUD,31,90,MUD,8675,EARTH,26025,,,STEEL,39
MUD,32,91.75,MUD,8970,EARTH,26910,,,STEEL,44
MUD,33,93.5,MUD,9268,EARTH,27804,,,STEEL,50
